Case Number,Date,Year,Sex,Type,Species,Country,Area,Location,Activity,Age,Fatal (Y/N),Time,Month
1846.09.30.R,1846-09-30,1846.0,M,Unprovoked,Unknown,AFRICA,Unspecified,,OTHER,,Y,Unspecified,Sep
1844.07.16.R,,1844.0,M,Unprovoked,Unknown,ALGERIA,Unspecified,Cape Matifou,SWIMMING,,Y,Unspecified,Unk
1958.09.13,1958-09-13,1958.0,M,Unprovoked,BLUE SHARK,ANDAMAN / NICOBAR ISLANDAS,Unspecified,,OTHER,32.0,Y,afternoon,Sep
1863.00.00.R4,,1863.0,M,Unprovoked,Unknown,ANDAMAN ISLANDS,Unspecified,,FELL INTO THE WATER,,Y,day-morning,Unk
1808.06.01.R,1808-05-01,1808.0,,Unprovoked,Unknown,ANTIGUA,Unspecified,Falmouth Harbour,,,Unknown,Unspecified,May
2015.12.19,2015-12-19,2015.0,M,Unprovoked,Unknown,ARUBA,Unspecified,Boat capsized,SEA DISASTER,58.0,Y,Unspecified,Dec
ND.0011,,,M,Unprovoked,Unknown,ASIA?,Unspecified,,SWIMMING,,N,Unspecified,Unk
1959.00.00.e,,1959.0,M,Provoked,TIGER SHARK,ATLANTIC OCEAN,Unspecified,,OTHER,,N,Unspecified,Unk
1885.08.17,1885-08-17,1885.0,M,Unprovoked,Unknown,ATLANTIC OCEAN,Unspecified,,OTHER,,Y,Unspecified,Aug
1942.09.12.b,1942-09-12,1942.0,M,Unprovoked,Unknown,ATLANTIC OCEAN,Unspecified,360 miles north of Ascension Island,OTHER,,N,Unspecified,Sep
1942.07.12,1942-07-12,1942.0,M,Unprovoked,Unknown,ATLANTIC OCEAN,Unspecified,,OTHER,32.0,Y,Unspecified,Jul
2015.02.15,2015-02-15,2015.0,,Provoked,WHITE SHARK,ATLANTIC OCEAN,Unspecified,,OTHER,,N,Unspecified,Feb
1882.01.05.R,1882-01-05,1882.0,M,Unprovoked,Unknown,ATLANTIC OCEAN,Unspecified,,OTHER,,Y,Unspecified,Jan
1941.01.00,,1941.0,M,Unprovoked,Unknown,ATLANTIC OCEAN,Unspecified,,OTHER,,Y,Unspecified,Jan
1892.12.15,1892-12-15,1892.0,M,Unprovoked,Unknown,ATLANTIC OCEAN,Unspecified,,FELL INTO THE WATER,15.0,Y,Unspecified,Dec
1890.10.25.R,1890-10-25,1890.0,M,Unprovoked,Unknown,ATLANTIC OCEAN,Unspecified,,OTHER,,Y,Unspecified,Oct
1916.06.24.R,1916-06-24,1916.0,M,Unprovoked,Unknown,ATLANTIC OCEAN,Unspecified,,OTHER,,Y,Unspecified,Jun
1852.07.28,1952-07-28,1852.0,F,Unspecified,Unknown,ATLANTIC OCEAN,Unspecified,,,1.0,Unknown,Unspecified,Jul
1947.11.08.b,1947-11-08,1947.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,"Maria River, Port Macquarie, 12 miles from river mouth",SWIMMING,12.0,Y,afternoon,Nov
2011.02.12,2011-02-12,2011.0,M,Unprovoked,Unknown,AUSTRALIA,Western Australia,Exmouth,SNORKELING,58.0,N,afternoon,Feb
2011.02.13,2011-02-13,2011.0,M,Provoked,Unknown,AUSTRALIA,Queensland,Sunshine Beach,FISHING,,N,day-morning,Feb
2011.02.17,2011-02-17,2011.0,M,Unprovoked,WHITE SHARK,AUSTRALIA,South Australia,Off Perforated Island near Coffin Bay,DIVING,49.0,Y,night,Feb
2011.01.20,2011-01-20,2011.0,F,Unspecified,Unknown,AUSTRALIA,New South Wales,Cudgen Creek ,SWIMMING,7.0,Unknown,afternoon,Jan
2012.03.20,2012-03-20,2012.0,M,Unprovoked,BULL SHARK,AUSTRALIA,Queensland,Nobby's Beach,SURFING,20.0,N,afternoon,Mar
1990.04.08,1990-04-08,1990.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,"Dingo Reef, 80 nm off Townsville",OTHER,37.0,Y,Unspecified,Apr
2011.03.10,2011-03-10,2011.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",SURFING,,N,Unspecified,Mar
2011.03.16,2011-03-16,2011.0,F,Unprovoked,Unknown,AUSTRALIA,New South Wales,"Jimmys Beach, Port Stephens",OTHER,24.0,N,afternoon,Mar
2011.03.23,2011-03-23,2011.0,M,Unprovoked,BULL SHARK,AUSTRALIA,New South Wales,Crowdy Head,SURFING,48.0,N,afternoon,Mar
1947.11.08.a,1947-11-08,1947.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,"Maria River, Port Macquarie, 12 miles from river mouth",SWIMMING,13.0,N,afternoon,Nov
1990.04.09,1990-04-09,1990.0,M,Unprovoked,TIGER SHARK,AUSTRALIA,Queensland,Greenmount Beach,SURFING,31.0,N,night-morning,Apr
1947.11.00,,1947.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,Moreton Bay,,78.0,Y,Unspecified,Nov
2011.04.23,2011-04-23,2011.0,M,Unprovoked,REEF SHARK,AUSTRALIA,Western Australia,Red Bluffs,OTHER,17.0,N,afternoon,Apr
2011.02.28.R,2011-02-28,2011.0,M,Provoked,BULL SHARK,AUSTRALIA,Queensland,Between ,FISHING,36.0,N,day-morning,Feb
1947.11.14.a,1947-11-14,1947.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,"Knobby's Beach, Newcastle",OTHER,16.0,N,night,Nov
2010.11.12.R,2010-11-12,2010.0,M,Provoked,WHITE SHARK,AUSTRALIA,Western Australia,Between Carnac and Garden Islands,FISHING,,N,night,Nov
1947.11.14.b,1947-11-14,1947.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,"Knobby's Beach, Newcastle",OTHER,17.0,N,night,Nov
1949.01.13,1949-01-13,1949.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,"Mona Vale, near Sydney",SURFING,,N,Unspecified,Jan
1949.01.05,1949-01-05,1949.0,,Unspecified,Unknown,AUSTRALIA,Western Australia,"Leighton Beach, North Fremantle",,,Unknown,Unspecified,Jan
1948.12.27,1948-12-27,1948.0,M,Unprovoked,TIGER SHARK,AUSTRALIA,Western Australia,Lancelin Island,SWIMMING,17.0,Y,Unspecified,Dec
1948.12.26,1948-12-26,1948.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,"King’s Beach, Caloundra",OTHER,28.0,Y,day-morning,Dec
2010.09.13,2010-09-13,2010.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,Fraser's Reef,SURFING,15.0,N,afternoon,Sep
1948.12.10,1948-12-10,1948.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,Rib Reef off Townsville,FISHING,,N,Unspecified,Dec
1948.11.18,1948-11-18,1948.0,M,Unprovoked,Unknown,AUSTRALIA,Torres Strait,"Saibai Island, 80 miles north of Cape York",DIVING,41.0,N,Unspecified,Nov
1990.04.07,1990-04-07,1990.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,Fingal Beach,SURFING,,N,Unspecified,Apr
2011.01.03,2011-01-03,2011.0,,Provoked,WHITE SHARK,AUSTRALIA,Western Australia,Busselton,FISHING,,N,afternoon,Jan
2010.10.09,2010-10-09,2010.0,M,Unprovoked,BULL SHARK,AUSTRALIA,New South Wales,Mullaway Headland,SURFING,22.0,N,afternoon,Oct
2010.10.23.a,2010-10-23,2010.0,M,Unprovoked,Unknown,AUSTRALIA,Western Australia,Wedge Island,SURFING,14.0,N,Unspecified,Oct
1948.01.25,1948-01-25,1948.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,"Mona Vale, near Sydney",SURFING,,N,Unspecified,Jan
2010.10.28.R,2010-10-28,2010.0,M,Unprovoked,Unknown,AUSTRALIA,Western Australia,Cheynes Beach,SPEARFISHING,,N,Unspecified,Oct
2010.10.30,2010-10-30,2010.0,F,Unprovoked,WHITE SHARK,AUSTRALIA,Western Australia,Off Garden Island,SNORKELING,20.0,N,afternoon,Oct
1947.06.16,1947-06-16,1947.0,,Provoked,TIGER SHARK,AUSTRALIA,New South Wales,Coogee,FISHING,,N,Unspecified,Jun
2010.11.27,2010-11-27,2010.0,M,Unspecified,Unknown,AUSTRALIA,Western Australia,Native Dog Beach,SWIMMING,,Unknown,Unspecified,Nov
1947.12.21,1947-12-21,1947.0,M,Unprovoked,NURSE SHARK,AUSTRALIA,New South Wales,"Watson Taylor's Lake, 25 miles south of Port Macquarie",FISHING,9.0,N,afternoon,Dec
1947.11.23,1947-11-23,1947.0,,Provoked,Unknown,AUSTRALIA,South Australia,3 miles out to sea off Glenelg,FISHING,,N,Unspecified,Nov
1948.02.12,1948-02-12,1948.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,"Stockton Beach, Newcastle",SWIMMING,16.0,Y,Unspecified,Feb
1947.04.06,1947-04-06,1947.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,Palm Beach,SURFING,17.0,N,Unspecified,Apr
1946.12.24.R,1946-12-24,1946.0,,Provoked,Unknown,AUSTRALIA,Queensland,"Auckland Creek, Gladstone",,,N,Unspecified,Dec
1947.02.23,1947-02-23,1947.0,,Provoked,Unknown,AUSTRALIA,Queensland,Palm Beach,FISHING,,N,Unspecified,Feb
2011.08.28.b,2011-08-28,2011.0,M,Unspecified,Unknown,AUSTRALIA,Queensland,Fantome Island,SWIMMING,48.0,Unknown,night,Aug
1943.05.14,1943-05-14,1943.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,Off Brisbane,OTHER,,Y,night-morning,May
2011.09.04.a,2011-09-04,2011.0,M,Unprovoked,WHITE SHARK,AUSTRALIA,Western Australia, Bunker Bay,BODY BOARDING,21.0,Y,afternoon,Sep
2003.01.02,2003-01-02,2003.0,F,Unprovoked,WHALER SHARK,AUSTRALIA,Western Australia,Left break at the ‘Hot Spot’ at Sheringa Beach,SURFING,,N,afternoon,Jan
2002.12.29,2002-12-29,2002.0,F,Unprovoked,HAMMERHEAD SHARK,AUSTRALIA,Queensland,Great Barrier Reef  (near Upolu Bay),SNORKELING,18.0,N,Unspecified,Dec
